
=== RUN 2026-09-18T16:40:36.346890 seed=42 pop=80 elite=10 mut_rate=0.15 sigma=0.25 crossover=0.5 gens=5000 ===

MILESTONE gen 1: FIRST BIRD SURVIVES 100+ FRAMES
MILESTONE gen 1: FIRST PIPE PASSED
2026-09-18T16:40:53.359924 gen=180 best=205.0 avg=66.8 score=1 alive=105 dt=0.06s
2026-09-18T16:40:53.458887 gen=181 best=350.0 avg=72.2 score=2 alive=150 dt=0.09s
2026-09-18T16:40:53.530511 gen=182 best=206.0 avg=61.6 score=1 alive=106 dt=0.06s
2026-09-18T16:40:53.601087 gen=183 best=202.0 avg=59.4 score=1 alive=102 dt=0.06s
2026-09-18T16:40:53.692956 gen=184 best=350.0 avg=66.8 score=2 alive=150 dt=0.08s
2026-09-18T16:40:53.761733 gen=185 best=206.0 avg=70.3 score=1 alive=106 dt=0.06s
2026-09-18T16:40:53.856001 gen=186 best=351.0 avg=66.7 score=2 alive=151 dt=0.08s
2026-09-18T16:40:53.949202 gen=187 best=349.0 avg=76.0 score=2 alive=149 dt=0.08s
2026-09-18T16:40:54.021963 gen=188 best=204.0 avg=68.7 score=1 alive=104 dt=0.06s
2026-09-18T16:40:54.165305 gen=189 best=492.0 avg=68.4 score=3 alive=192 dt=0.13s
2026-09-18T16:40:54.306783 gen=190 best=491.0 avg=84.8 score=3 alive=191 dt=0.13s
2026-09-18T16:40:54.419238 gen=191 best=349.0 avg=66.7 score=2 alive=149 dt=0.10s
2026-09-18T16:40:54.501940 gen=192 best=205.0 avg=62.8 score=1 alive=105 dt=0.07s
2026-09-18T16:40:54.584045 gen=193 best=204.0 avg=64.3 score=1 alive=104 dt=0.07s
2026-09-18T16:40:54.724576 gen=194 best=491.0 avg=71.9 score=3 alive=191 dt=0.13s
2026-09-18T16:40:54.806363 gen=195 best=204.0 avg=64.8 score=1 alive=104 dt=0.07s
2026-09-18T16:40:54.918396 gen=196 best=346.0 avg=72.2 score=2 alive=146 dt=0.10s
2026-09-18T16:40:55.031165 gen=197 best=346.0 avg=72.2 score=2 alive=146 dt=0.10s
2026-09-18T16:40:55.175480 gen=198 best=494.0 avg=73.8 score=3 alive=194 dt=0.13s
2026-09-18T16:40:55.228724 gen=199 best=61.0 avg=57.6 score=0 alive=61 dt=0.04s
2026-09-18T16:40:55.344654 gen=200 best=351.0 avg=66.6 score=2 alive=151 dt=0.10s
2026-09-18T16:40:55.441664 gen=201 best=204.0 avg=63.0 score=1 alive=104 dt=0.07s
2026-09-18T16:40:55.554348 gen=202 best=349.0 avg=70.0 score=2 alive=149 dt=0.10s
2026-09-18T16:40:55.645630 gen=203 best=205.0 avg=63.1 score=1 alive=105 dt=0.08s
2026-09-18T16:40:55.727994 gen=204 best=202.0 avg=64.9 score=1 alive=102 dt=0.07s
2026-09-18T16:40:55.811072 gen=205 best=204.0 avg=58.7 score=1 alive=104 dt=0.07s
2026-09-18T16:40:55.894686 gen=206 best=206.0 avg=62.9 score=1 alive=106 dt=0.07s
2026-09-18T16:40:55.979381 gen=207 best=206.0 avg=63.0 score=1 alive=106 dt=0.07s
2026-09-18T16:40:56.063746 gen=208 best=206.0 avg=63.0 score=1 alive=106 dt=0.07s
2026-09-18T16:40:56.183057 gen=209 best=351.0 avg=63.2 score=2 alive=151 dt=0.11s
2026-09-18T16:40:56.327008 gen=210 best=496.0 avg=75.8 score=3 alive=196 dt=0.13s
2026-09-18T16:40:56.455023 gen=211 best=351.0 avg=63.3 score=2 alive=151 dt=0.10s
2026-09-18T16:40:56.690649 gen=212 best=931.0 avg=82.9 score=6 alive=331 dt=0.22s
2026-09-18T16:40:56.863005 gen=213 best=638.0 avg=79.3 score=4 alive=238 dt=0.16s
2026-09-18T16:40:56.975092 gen=214 best=351.0 avg=72.3 score=2 alive=151 dt=0.10s
2026-09-18T16:40:57.059017 gen=215 best=206.0 avg=64.9 score=1 alive=106 dt=0.07s
2026-09-18T16:40:57.142058 gen=216 best=206.0 avg=63.0 score=1 alive=106 dt=0.07s
2026-09-18T16:40:57.313476 gen=217 best=637.0 avg=77.6 score=4 alive=237 dt=0.16s
2026-09-18T16:40:57.424642 gen=218 best=346.0 avg=80.0 score=2 alive=146 dt=0.10s
2026-09-18T16:40:57.538997 gen=219 best=351.0 avg=67.1 score=2 alive=151 dt=0.10s
2026-09-18T16:40:57.653892 gen=220 best=351.0 avg=70.3 score=2 alive=151 dt=0.10s
2026-09-18T16:40:57.767156 gen=221 best=348.0 avg=72.5 score=2 alive=148 dt=0.10s
2026-09-18T16:40:57.908496 gen=222 best=493.0 avg=86.5 score=3 alive=193 dt=0.13s
2026-09-18T16:40:58.075645 gen=223 best=638.0 avg=77.4 score=4 alive=238 dt=0.16s
2026-09-18T16:40:58.188846 gen=224 best=351.0 avg=79.4 score=2 alive=151 dt=0.10s
2026-09-18T16:40:58.272134 gen=225 best=206.0 avg=73.8 score=1 alive=106 dt=0.07s
2026-09-18T16:40:58.411613 gen=226 best=491.0 avg=79.2 score=3 alive=191 dt=0.13s
2026-09-18T16:40:58.523838 gen=227 best=351.0 avg=70.3 score=2 alive=151 dt=0.10s
2026-09-18T16:40:58.671618 gen=228 best=491.0 avg=68.5 score=3 alive=191 dt=0.14s
2026-09-18T16:40:58.781815 gen=229 best=346.0 avg=76.2 score=2 alive=146 dt=0.10s
2026-09-18T16:40:58.923466 gen=230 best=491.0 avg=75.7 score=3 alive=191 dt=0.13s
2026-09-18T16:40:59.008403 gen=231 best=206.0 avg=68.9 score=1 alive=106 dt=0.07s
2026-09-18T16:40:59.091264 gen=232 best=205.0 avg=70.3 score=1 alive=105 dt=0.07s
2026-09-18T16:40:59.175452 gen=233 best=206.0 avg=65.3 score=1 alive=106 dt=0.07s
2026-09-18T16:40:59.256735 gen=234 best=206.0 avg=65.0 score=1 alive=106 dt=0.07s
2026-09-18T16:40:59.341165 gen=235 best=206.0 avg=72.2 score=1 alive=106 dt=0.07s
2026-09-18T16:40:59.515444 gen=236 best=640.0 avg=85.6 score=4 alive=240 dt=0.16s
2026-09-18T16:40:59.629692 gen=237 best=350.0 avg=81.4 score=2 alive=150 dt=0.10s
2026-09-18T16:40:59.742141 gen=238 best=346.0 avg=72.0 score=2 alive=146 dt=0.10s
2026-09-18T16:40:59.855509 gen=239 best=346.0 avg=72.1 score=2 alive=146 dt=0.10s
2026-09-18T16:40:59.939940 gen=240 best=206.0 avg=72.4 score=1 alive=106 dt=0.07s
2026-09-18T16:41:00.052703 gen=241 best=346.0 avg=61.9 score=2 alive=146 dt=0.10s
2026-09-18T16:41:00.164394 gen=242 best=346.0 avg=70.4 score=2 alive=146 dt=0.10s
2026-09-18T16:41:00.342607 gen=243 best=636.0 avg=70.6 score=4 alive=236 dt=0.17s
2026-09-18T16:41:00.456585 gen=244 best=351.0 avg=70.7 score=2 alive=151 dt=0.10s
2026-09-18T16:41:00.598257 gen=245 best=493.0 avg=77.9 score=3 alive=193 dt=0.13s
2026-09-18T16:41:00.711576 gen=246 best=349.0 avg=65.2 score=2 alive=149 dt=0.10s
2026-09-18T16:41:00.822276 gen=247 best=346.0 avg=72.8 score=2 alive=146 dt=0.10s
2026-09-18T16:41:00.935140 gen=248 best=348.0 avg=70.7 score=2 alive=148 dt=0.10s
2026-09-18T16:41:01.018691 gen=249 best=206.0 avg=67.2 score=1 alive=106 dt=0.07s
2026-09-18T16:41:01.101790 gen=250 best=206.0 avg=65.0 score=1 alive=106 dt=0.07s
2026-09-18T16:41:01.222841 gen=251 best=350.0 avg=68.5 score=2 alive=150 dt=0.10s
2026-09-18T16:41:01.306018 gen=252 best=206.0 avg=76.1 score=1 alive=106 dt=0.07s
2026-09-18T16:41:01.391989 gen=253 best=206.0 avg=65.4 score=1 alive=106 dt=0.07s
2026-09-18T16:41:01.504854 gen=254 best=346.0 avg=68.8 score=2 alive=146 dt=0.10s
2026-09-18T16:41:01.649344 gen=255 best=494.0 avg=70.8 score=3 alive=194 dt=0.13s
2026-09-18T16:41:01.733819 gen=256 best=206.0 avg=67.2 score=1 alive=106 dt=0.07s
2026-09-18T16:41:01.816052 gen=257 best=206.0 avg=69.0 score=1 alive=106 dt=0.07s
2026-09-18T16:41:01.930118 gen=258 best=350.0 avg=77.8 score=2 alive=150 dt=0.10s
2026-09-18T16:41:02.042989 gen=259 best=351.0 avg=74.1 score=2 alive=151 dt=0.10s
